Harvest ,Species,Treatment ,Treatment_2,Pot,Leaves_DW ,Stem_DW,AG_DW,BG_DW,Total_plant,Nodule,Nodules_W,Nodules_Present,Height ,R_S,Nodule_mass_fraction,root_mass_fraction
2,VS,16%,16,108,0.191,0.144,0.335,0.184,0.519,20,0.008,TRUE,187,0.549253731,0.015414258,0.354527938
1,VS,16%,16,109,0.057,0.038,0.095,0.038,0.133,0,0,FALSE,106,0.4,0,0.285714286
2,VE,4%,16,109,0,0,0,0,0,0,0,FALSE,123,0,0,0
3,VE,4%,4,109,0.135,0.165,0.3,0.117,0.417,0,0,FALSE,120,0.39,0,0.28057554
1,VE,4%,4,110,0.067,0.048,0.115,0.006,0.121,0,0,FALSE,66,0.052173913,0,0.049586777
3,VS,16%,16,110,0.215,0.232,0.447,0.301,0.748,34,0.011,TRUE,235,0.673378076,0.014705882,0.402406417
2,VS,16%,16,111,0.128,0.107,0.235,0.156,0.391,41,0.01,TRUE,204,0.663829787,0.025575448,0.398976982
1,VS,4%,4,112,0.032,0.044,0.076,0.042,0.118,0,0,FALSE,66,0.552631579,0,0.355932203
3,VS,8%,8,113,0.115,0.111,0.226,0.13,0.356,10,0.004,TRUE,172,0.575221239,0.011235955,0.365168539
1,VS,8%,8,114,0.054,0.04,0.094,0.025,0.119,0,0,FALSE,105,0.265957447,0,0.210084034
3,VE,4%,4,115,0.201,0.284,0.485,0.193,0.678,0,0,FALSE,168,0.397938144,0,0.284660767
3,VS,4%,4,115,0.238,0.416,0.654,0.525,1.179,32,0.028,TRUE,280,0.802752294,0.02374894,0.445292621
3,VE,16%,16,116,0.208,0.217,0.425,0.21,0.635,0,0,FALSE,174,0.494117647,0,0.330708661
3,VS,16%,16,116,0.25,0.265,0.515,0.38,0.895,17,0.007,TRUE,254,0.737864078,0.007821229,0.424581006
1,VE,4%,4,117,0.109,0.061,0.17,0.032,0.202,0,0,FALSE,66,0.188235294,0,0.158415842
3,VS,8%,8,117,0.267,0.263,0.53,0.459,0.989,25,0.001,TRUE,236,0.866037736,0.001011122,0.464105157
3,VS,4%,4,118,0.148,0.143,0.291,0.284,0.575,0,0,FALSE,197,0.975945017,0,0.493913043
3,VE,4%,4,119,0.186,0.262,0.448,0.219,0.667,0,0,FALSE,156,0.488839286,0,0.328335832
3,VS,16%,16,119,0.307,0.272,0.579,0.388,0.967,0,0,FALSE,249,0.670120898,0,0.401240951
2,VE,8%,16,120,0.188,0.115,0.303,0.077,0.38,0,0,FALSE,149,0.254125413,0,0.202631579
3,VS,4%,4,120,0.101,0.162,0.263,0.234,0.497,12,0.001,TRUE,174,0.88973384,0.002012072,0.47082495
1,VE,16%,16,121,0.096,0.071,0.167,0.022,0.189,0,0,FALSE,90,0.131736527,0,0.116402116
3,VS,8%,8,121,0.103,0.175,0.278,0.22,0.498,56,0.017,TRUE,201,0.791366906,0.034136546,0.441767068
2,VE,16%,16,122,0.135,0.104,0.239,0.152,0.391,0,0,FALSE,138,0.635983264,0,0.388746803
3,VS,4%,4,122,0.215,0.242,0.457,0.586,1.043,43,0.02,TRUE,192,1.282275711,0.019175455,0.561840844
3,VS,8%,8,123,0.17,0.136,0.306,0.29,0.596,38,0.009,TRUE,250,0.947712418,0.015100671,0.486577181
1,VE,4%,4,124,0.126,0.046,0.172,0.033,0.205,0,0,FALSE,104,0.191860465,0,0.16097561
3,VS,4%,4,124,0.212,0.205,0.417,0.273,0.69,29,0.005,TRUE,277,0.654676259,0.007246377,0.395652174
3,VS,8%,8,125,0.287,0.381,0.668,0.684,1.352,26,0.02,TRUE,247,1.023952096,0.014792899,0.50591716
3,VS,8%,8,126,0.13,0.111,0.241,0.256,0.497,72,0.017,TRUE,210,1.062240664,0.034205231,0.515090543
1,VE,8%,8,127,0.145,0.083,0.228,0.051,0.279,0,0,FALSE,124,0.223684211,0,0.182795699
1,VS,4%,4,127,0.063,0.043,0.106,0.027,0.133,0,0,FALSE,108,0.254716981,0,0.203007519
2,VE,8%,16,128,0.209,0.121,0.33,0.122,0.452,0,0,FALSE,129,0.36969697,0,0.269911504
3,VS,8%,8,128,0.144,0.198,0.342,0.361,0.703,21,0.007,TRUE,275,1.055555556,0.009957326,0.513513514
3,VE,16%,16,129,0.197,0.198,0.395,0.213,0.608,0,0,FALSE,188,0.539240506,0,0.350328947
3,VS,8%,8,129,0.375,0.32,0.695,0.562,1.257,48,0.014,TRUE,216,0.808633094,0.011137629,0.447096261
3,VE,8%,8,131,0.167,0.207,0.374,0.181,0.555,0,0,FALSE,145,0.483957219,0,0.326126126
2,VE,8%,16,134,0.175,0.169,0.344,0.087,0.431,0,0,FALSE,168,0.252906977,0,0.201856148
3,VS,4%,4,134,0.167,0.196,0.363,0.354,0.717,42,0.042,TRUE,270,0.975206612,0.058577406,0.493723849
3,VE,16%,16,135,0.103,0.095,0.198,0.06,0.258,0,0,FALSE,130,0.303030303,0,0.23255814
3,VE,8%,8,136,0.177,0.167,0.344,0.143,0.487,0,0,FALSE,158,0.415697674,0,0.293634497
1,VE,16%,16,137,0.122,0.085,0.207,0.05,0.257,0,0,FALSE,70,0.241545894,0,0.194552529
2,VE,8%,16,139,0.189,0.127,0.316,0.144,0.46,0,0,FALSE,152,0.455696203,0,0.313043478
1,VE,8%,8,140,0.095,0.058,0.153,0.042,0.195,0,0,FALSE,72,0.274509804,0,0.215384615
1,VE,16%,16,141,0.283,0.035,0.318,0.025,0.343,0,0,FALSE,62,0.078616352,0,0.072886297
2,VE,16%,16,142,0.17,0.112,0.282,0.09,0.372,0,0,FALSE,145,0.319148936,0,0.241935484
2,VE,8%,16,143,0.189,0.126,0.315,0.059,0.374,0,0,FALSE,132,0.187301587,0,0.157754011
1,VE,8%,8,144,0.189,0.09,0.279,0.06,0.339,0,0,FALSE,124,0.215053763,0,0.17699115
2,VE,8%,16,145,0.175,0.146,0.321,0.094,0.415,0,0,FALSE,165,0.292834891,0,0.226506024
1,VE,8%,8,147,0.028,0.039,0.067,0.019,0.086,0,0,FALSE,60,0.28358209,0,0.220930233
2,VS,16%,16,148,0.181,0.181,0.362,0.218,0.58,68,0.02,TRUE,211,0.602209945,0.034482759,0.375862069
1,VE,8%,8,151,0.12,0.07,0.19,0.046,0.236,0,0,FALSE,91,0.242105263,0,0.194915254
2,VE,8%,16,152,0.152,0.102,0.254,0.092,0.346,0,0,FALSE,146,0.362204724,0,0.265895954
1,VE,8%,8,155,0.152,0.086,0.238,0.069,0.307,0,0,FALSE,142,0.289915966,0,0.2247557
2,VE,4%,16,157,0.206,0.14,0.346,0.091,0.437,0,0,FALSE,174,0.26300578,0,0.208237986
2,VE,8%,16,158,0.185,0.107,0.292,0.101,0.393,0,0,FALSE,161,0.345890411,0,0.256997455
3,VE,8%,8,161,0.167,0.149,0.316,0.106,0.422,0,0,FALSE,144,0.335443038,0,0.251184834
2,VE,16%,16,162,0.189,0.142,0.331,0.101,0.432,0,0,FALSE,191,0.305135952,0,0.233796296
3,VE,16%,16,163,0.315,0.355,0.67,0.264,0.934,0,0,FALSE,225,0.394029851,0,0.282655246
2,VE,16%,16,164,0.12,0.071,0.191,0.063,0.254,0,0,FALSE,119,0.329842932,0,0.248031496
1,VE,8%,8,165,0.12,0.055,0.175,0.05,0.225,0,0,FALSE,104,0.285714286,0,0.222222222
3,VE,16%,16,166,0.136,0.145,0.281,0.129,0.41,0,0,FALSE,162,0.459074733,0,0.314634146
2,VE,16%,16,167,0.229,0.144,0.373,0.155,0.528,0,0,FALSE,161,0.415549598,0,0.293560606
1,VE,16%,16,168,0.099,0.052,0.151,0.017,0.168,0,0,FALSE,104,0.112582781,0,0.101190476
1,VE,16%,16,169,0.126,0.07,0.196,0.026,0.222,0,0,FALSE,76,0.132653061,0,0.117117117
3,VE,4%,4,171,0.225,0.282,0.507,0.167,0.674,0,0,FALSE,181,0.32938856,0,0.247774481
1,VE,16%,16,172,0.092,0.07,0.162,0.031,0.193,0,0,FALSE,109,0.191358025,0,0.160621762
